song,angry_agressive,arousing_awakening,bizarre_weird,calming_soothing,carefree_lighthearted,cheerful_festive,emotional_passionate,exciting_thrilling,happy,laid-back_mellow,light_playful,loving_romantic,pleasant_comfortable,positive_optimistic,powerful_strong,sad,tender_soft,touching_loving
10cc-for_you_and_i,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
2pac-trapped,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
5th_dimension-one_less_bell_to_answer,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
a_tribe_called_quest-bonita_applebum,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aaron_neville-tell_it_like_it_is,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abba-s.o.s.,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
abc-poison_arrow,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ac_dc-dirty_deeds_done_dirt_cheap,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
adam_and_the_ants-prince_charming,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adam_ant-wonderful,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
adverts-gary_gilmores_eyes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aerobic_jonquil-sweat_machine,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aerosmith-dude_looks_like_a_lady,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
aimee_mann-wise_up,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
air-sexy_boy,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
al_green-sha-la-la_make_me_happy,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1
alanis_morissette-thank_u,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
alice_cooper-elected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alice_in_chains-no_excuses,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
alicia_keys-fallin,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
allman_brothers_band-melissa,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
altered_images-dont_talk_to_me_about_love,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
american_music_club-jesus_hands,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
andrews_sisters-boogie_woogie_bugle_boy,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0
ani_difranco-crime_for_crime,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
animals-im_crying,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
anita_baker-caught_up_in_the_rapture,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
antiguru-peering,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0
antonio_carlos_jobim-wave,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
anup-life_glides,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
aphex_twin-come_to_daddy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apples_in_stereo-glowworm,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
aretha_franklin-dont_play_that_song,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1
arlo_guthrie-alices_restaurant_massacree,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0
art_tatum-willow_weep_for_me,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
artemis-don_t_look_back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
arthur_alexander-you_dont_care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthur_yoria-at_least_you_ve_been_told,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashford_and_simpson-solid,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1
association-windy,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
atomic_opera-watergrave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.b._king-sweet_little_angel,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
backstreet_boys-as_long_as_you_love_me,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
badly_drawn_boy-all_possibilities,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
