cal_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2pac-trapped,0.773,0.297,10,-17.819,0,0.335,0.0118,0.000132,0.137,0.442,88.265,4
5th_dimension-one_less_bell_to_answer,0.398,0.405,11,-6.664,0,0.0258,0.737,4.97e-05,0.131,0.443,99.694,3
10cc-for_you_and_i,0.541,0.182,9,-14.9,0,0.0294,0.877,0.000718,0.103,0.146,79.399,4
a_tribe_called_quest-bonita_applebum,0.845,0.701,8,-5.111,0,0.209,0.0859,0.00232,0.494,0.647,91.851,4
aaron_neville-tell_it_like_it_is,0.542,0.461,2,-7.071,0,0.0286,0.465,0.0,0.177,0.629,94.214,3
abba-s.o.s.,0.327,0.105,9,-22.821,1,0.0408,0.872,0.305,0.122,0.0895,105.997,4
abc-poison_arrow,0.736,0.876,11,-5.894,0,0.0839,0.182,0.00776,0.119,0.802,125.843,4
ac_dc-dirty_deeds_done_dirt_cheap,0.668,0.906,11,-4.881,0,0.17,0.214,0.00229,0.135,0.507,135.653,4
adam_and_the_ants-prince_charming,0.544,0.667,9,-9.526,1,0.0398,0.179,3.94e-06,0.142,0.665,149.944,4
adam_ant-wonderful,0.538,0.669,3,-8.012,0,0.0255,0.0594,0.000458,0.101,0.382,102.009,4
adverts-gary_gilmores_eyes,0.421,0.598,4,-6.078,0,0.0487,0.0349,4.8e-06,0.416,0.778,157.927,4
aerosmith-dude_looks_like_a_lady,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,4
aimee_mann-wise_up,0.341,0.528,7,-9.341,1,0.0383,0.593,0.00774,0.77,0.134,140.26,4
air-sexy_boy,0.435,0.651,0,-6.152,1,0.0288,0.00111,0.609,0.111,0.206,111.896,4
al_green-sha-la-la_make_me_happy,0.747,0.395,0,-13.78,1,0.0321,0.0672,0.0299,0.219,0.85,110.726,4
alanis_morissette-thank_u,0.672,0.616,0,-5.764,1,0.0258,0.379,2.73e-05,0.0887,0.566,92.094,4
alice_cooper-elected,0.295,0.74,9,-13.073,0,0.0344,0.0604,0.142,0.193,0.506,135.299,4
alice_in_chains-no_excuses,0.527,0.838,3,-6.013,1,0.0323,0.0206,0.000662,0.07,0.721,117.454,4
alicia_keys-fallin,0.653,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.982,3
allman_brothers_band-melissa,0.533,0.362,4,-14.791,1,0.0244,0.478,0.245,0.0857,0.45,82.993,4
altered_images-dont_talk_to_me_about_love,0.63,0.552,5,-12.456,1,0.0343,0.0284,0.275,0.527,0.656,122.617,4
